address,propertyType,bedrooms,transactions,lat,lon,detailsUrl
"Flat 2, 38, Portland Rise, London, Greater London N4 2PP",FLAT,,"[{'displayPrice': '£775,000', 'dateSold': '30 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£603,000', 'dateSold': '25 Aug 2022', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.56786,-0.0963,https://www.rightmove.co.uk/house-prices/details/england-21717163?s=5558b9040ca0adf026f912782cb35b797717b300d20f7f11d715a5c0cf328f4d
"Flat 48, Cloudesley Mansions, Cloudesley Place, London, Greater London N1 0ED",FLAT,1,"[{'displayPrice': '£610,000', 'dateSold': '30 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£590,000', 'dateSold': '17 Jan 2020', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£485,000', 'dateSold': '31 Jan 2018', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.53569,-0.10903,https://www.rightmove.co.uk/house-prices/details/england-73580050-21714898?s=781820670b7db455a7376a83460e0f2be339ff86bc6ec13d37a33e60978c9083
"Garden Flat, 376, Wandsworth Road, London, Greater London SW8 4TE",FLAT,,"[{'displayPrice': '£575,000', 'dateSold': '27 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£625,000', 'dateSold': '10 Oct 2017', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£385,000', 'dateSold': '16 Dec 2011', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£220,000', 'dateSold': '30 Mar 2001', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.4715,-0.1376,https://www.rightmove.co.uk/house-prices/details/england-21812638?s=4643080eda850499fccfd906744d9f0dc5c32c5fedd3fcfff95301da55214a49
"56, Whiteley Road, London, Greater London SE19 1JT",TERRACED,5,"[{'displayPrice': '£927,500', 'dateSold': '27 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£117,000', 'dateSold': '5 May 1995', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.42404,-0.08899,https://www.rightmove.co.uk/house-prices/details/england-145784846-21783904?s=831f1c040c2836f10b9d657faaa038dde5fe4dce417fe866236d296a6561740c
"75, Inverness Avenue, Enfield, Greater London EN1 3NX",FLAT,2,"[{'displayPrice': '£343,500', 'dateSold': '27 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£297,000', 'dateSold': '7 Jan 2022', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£168,500', 'dateSold': '1 Sep 2003', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£67,500', 'dateSold': '21 Nov 1997', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£56,700', 'dateSold': '19 Jul 1995', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.66456,-0.0707,https://www.rightmove.co.uk/house-prices/details/england-144036971-21652783?s=a6c612b8247be2bcda06d6e642d0790446d79c23ff5f2bcb964a7d81c52638ac
"90, Glenview, London, Greater London SE2 0SH",SEMI_DETACHED,3,"[{'displayPrice': '£457,000', 'dateSold': '27 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£227,000', 'dateSold': '12 Nov 2007', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.47966,0.12758,https://www.rightmove.co.uk/house-prices/details/england-7524675-21784072?s=90494d6a4a8ae3ab498220e4152f86340ec0dbd79e4f1b599e007b7b229c06fd
"19, Ashley Drive, Twickenham, Greater London TW2 6HJ",SEMI_DETACHED,,"[{'displayPrice': '£710,000', 'dateSold': '27 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£595,000', 'dateSold': '6 Aug 2018', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£125,000', 'dateSold': '28 Aug 1998', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.44862,-0.36419,https://www.rightmove.co.uk/house-prices/details/england-21829051?s=ca40e5d14e8e6564d2abc688d6d5a363551edf9047171ab418732e06de458980
"Flat 29, Alpha House, 4, Beta Place, London, Greater London SW4 7QN",FLAT,,"[{'displayPrice': '£790,000', 'dateSold': '27 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£745,000', 'dateSold': '10 Jan 2017', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£280,000', 'dateSold': '26 Nov 2002', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.46133,-0.12031,https://www.rightmove.co.uk/house-prices/details/england-21811726?s=9bdb0692d6a509b8fed470cea431dc86e0040729eeb4baec0fda4fae6c8975c2
"Flat 5 Lower Ground Floor, Northwood Hall, Hornsey Lane, London, Greater London N6 5PE",FLAT,2,"[{'displayPrice': '£440,000', 'dateSold': '27 Sep 2024', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£430,000', 'dateSold': '12 May 2016', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£280,000', 'dateSold': '30 Jun 2011', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£250,000', 'dateSold': '19 Oct 2009', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£213,500', 'dateSold': '17 Mar 2006', 'tenure': 'LEASEHOLD', 'newBuild': False}, {'displayPrice': '£190,000', 'dateSold': '29 Aug 2003', 'tenure': 'LEASEHOLD', 'newBuild': False}]",51.57166,-0.13712,https://www.rightmove.co.uk/house-prices/details/england-123255218-21717418?s=bd5a962929efd0655b47448e181b356681f49018d79342e5171260c38ac3b9e0
"17, Merritt Road, London, Greater London SE4 1DU",TERRACED,3,"[{'displayPrice': '£774,000', 'dateSold': '27 Sep 2024', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£338,500', 'dateSold': '15 Jun 2007', 'tenure': 'FREEHOLD', 'newBuild': False}, {'displayPrice': '£58,750', 'dateSold': '8 Feb 1996', 'tenure': 'FREEHOLD', 'newBuild': False}]",51.45606,-0.03517,https://www.rightmove.co.uk/house-prices/details/england-146085020-21785368?s=a63fdb16878071e07d59a839ac3f145a8744043d671116dec4394bf70b0afddb
